Store,id,res_id,City,StreetNa_1,ADDRESS,House_Num1,House_Num2,House_Num3,House_Num4,House_Num5,House_Num6,Build_type,adres_full,Cell,Y,X,car,pedestrian,Status,Type,Year_buld,floors,flats,Matwalls,people,Key_Accou,Bus
KFC Belorusskaya Moscow,5003001933,0,Москва,Угловой переулок,6 стр 2,6, , ,стр,2,стр 2,Нежил,"Москва, Угловой переулок, 6 стр 2",C1,"37,59058","55,787425",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001934,0,Москва,Лесная,1/2,1/2, , , , , ,Нежил,"Москва, Лесная, 1/2",C1,"37,585439","55,776957",5,5,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001935,0,Москва,Бутырский Вал,4,4, , , , , ,Нежил,"Москва, Бутырский Вал, 4",C1,"37,585318","55,777309",5,5,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001936,0,Москва,Бутырский Вал,8/3 стр 1,8/3, , ,стр,1,стр 1,Нежил,"Москва, Бутырский Вал, 8/3 стр 1",C1,"37,585613","55,777821",5,5,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001937,0,Москва,Бутырский Вал,10,10, , , , , ,Нежил,"Москва, Бутырский Вал, 10",C1,"37,585995","55,778491",5,5,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001938,0,Москва,Лесная,3,3, , , , , ,Нежил,"Москва, Лесная, 3",C1,"37,586086","55,777282",5,5,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001939,0,Москва,Бутырский Вал,18 стр 1,18, , ,стр,1,стр 1,Нежил,"Москва, Бутырский Вал, 18 стр 1",C1,"37,58637","55,779777",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001940,0,Москва,Лесная,5 стр Б,5, , ,стр,Б,стр Б,БЦ,"Москва, Лесная, 5 стр Б",C1,"37,586891","55,77823",5,5,active, ,0,0,0, ,8000, ,15
KFC Belorusskaya Moscow,5003001941,0,Москва,Бутырский Вал,20,20, , , , , ,Нежил,"Москва, Бутырский Вал, 20",C1,"37,586514","55,780241",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001942,0,Москва,4-й Лесной переулок,2,2, , , , , ,Нежил,"Москва, 4-й Лесной переулок, 2",C1,"37,58646","55,778906",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001943,0,Москва,Лесная,5 стр С,5, , ,стр,С,стр С,Нежил,"Москва, Лесная, 5 стр С",C1,"37,586872","55,777828",5,5,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001944,0,Москва,Бутырский Вал,22 стр 3,22, , ,стр,3,стр 3,Нежил,"Москва, Бутырский Вал, 22 стр 3",C1,"37,586528","55,78081",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001945,0,Москва,Бутырский Вал,24/13 стр 1,24/13, , ,стр,1,стр 1,Нежил,"Москва, Бутырский Вал, 24/13 стр 1",C1,"37,586607","55,781154",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001946,0,Москва,4-й Лесной переулок,4,4, , , , , ,БЦ,"Москва, 4-й Лесной переулок, 4",C1,"37,587119","55,779166",5,10,active, ,0,0,0, ,4288, ,15
KFC Belorusskaya Moscow,5003001947,0,Москва,2-й Лесной переулок,11 стр 1,11, , ,стр,1,стр 1,Нежил,"Москва, 2-й Лесной переулок, 11 стр 1",C1,"37,587185","55,780877",5,10,active, ,0,0,0, ,0, ,15
